,id,title,author,genre,tag,platform,age,rate,complete,free,website
34,34,그녀의 암캐,피토,백합,#선후배#짝사랑#여고#백합,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/her_dog
35,35,사랑하는 MOON DOG,야마다 난페이,로맨스,#일상#로맨스#현대물#반려동물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/moon_dog
36,36,어차피 인간은 다 변태야 [개정판],장미,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/human_pervert_rd
37,37,배덕의 밤 [개정판],"kk, 팽유정",로맨스,#로맨스#소설원작#동양풍,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/immoral_night_15
38,38,엉덩이가 잘못했네 [연재],"자몽사이다(유툰), 줄리아키스",로맨스,#로맨스#현대물#소설원작#사내연애#재벌,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/bad_hip
39,39,"보스 오빠, 제발! [연재]",길거리 동자,로맨스,#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/please_boss_
40,40,이윽고 네가 된다,나카타니 니오,백합,#백합#연애#선후배#성장물#학원,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/bloom_into_you
41,41,도리도심,이지피,로맨스,#로맨스#썸#연애#다각관계#캠퍼스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/doridosim
42,42,그레이스 길들이기,"서림, 목마",백합,#시대극#주종관계#복수#백합,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/grace_taming
43,43,그들의 방주,이요,로맨스,#학원#귀여움#판타지#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/their_ark
44,44,블루밍 시퀀스,이을,백합,#성장물#연애#동아리#선후배#캠퍼스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/blooming
45,45,날 버려줘서 고마워,투심플,로맨스,#오피스#썸#현대물#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/thank_you_for_leave_me
46,46,데일리 위치,성원,백합,#귀여움#일상#마녀#판타지#백합,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/dailywitch
47,47,귀여운 그녀 [연재],yoolook media,로맨스,#로맨스#연애#재벌,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/cute_girl
48,48,파티션,팀티코지,백합,#백합,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/partition
49,49,1미터 사이,"이은정, 김병관",로맨스,#학원#트라우마#얼굴천재#계약관계#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/1m
50,50,바보개와 아가씨 [개정판],"롱타임, 김휘빈",로맨스,#판타지#로맨스#친구>연인#달달물#소꿉친구,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/sexy_dog_15
51,51,1 더하기 1은,소루,로맨스,#이웃#캠퍼스#달달물#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/oneplusone
52,52,향기로운 회사생활 [연재],"ETE, 링아",로맨스,#로맨스#현대물#상사#오피스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/fragrant_company_life
53,53,이번 생은 악녀로 살겠습니다 [연재],black,로맨스,#로맨스#동양풍#썸,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/wickedwoman
54,54,너에게 돌아가는 길,일,로맨스,#로맨스#친구#고등학교,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/back_to_you
55,55,동거인에게는 비밀이 있다,츠키모리 노엘,로맨스,#로맨스#연예인#옴니버스#동거,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/housemate_has_a_secret
