,title,author,genre,story,platform
10,궁에는 개꽃이 산다,"신지상,가얀,윤태루",로맨스,"은나라 황실에 살고 있는 사람들이라면 누구나 알아야 하는 필수 지침이 있다.
'현비를 보면 무조건 피해 가라!'
자질이 부족한 것은 두말 할 필요도 없고, 투기는 기본에다, 그 악랄하고 잔인한 성정에 당한 사람은 두 손으로 꼽을 수 없을 정도다. 잔혹한 행동으로 악명을 떨치는 현비 개리. 하지만 서슴지 않고 행하던 악행들의 목표는 단 한 가지뿐이었다. 바로 은왕제 언의 관심을 받아 황후가 되는 것!

<윤태루- 궁에는 개꽃이 산다> 웹툰화!",카카오페이지
11,외과의사 엘리제,"유인(流人),mini",로판,"서울대 최연소 의대 교수 '송지현'! 지난 과거 삶의 잘못을 만회하기 위해 의사로서 최선을 다해 살고 있었는데, 태평양 한가운데 1만 미터 높이의 비행기에서 비상탈출을 해야 한다고?!! 아찔한 순간 모든 게 끝났다고 생각했는데… 어라? 눈을 떠보니 첫 번째 삶의 '엘리제'로 돌아왔다? 

첫 번째 삶의 '엘리제'는 패악했지만, 두 번째 삶의 '송지현'을 거쳐 다시 돌아온 '엘리제'는 달라! 

지난날의 과오를 갚기 위해 의사 '송지현'의 지식을 이용해 의사로서 새로운 삶을 살게 된 '엘리제'! 그녀의 세 번째 삶은 과연...?",카카오페이지
12,연하의 곰신,한유랑,로맨스,"차라리 외나무다리에서 만난 원수가 이보다 나으리라~
내가 차버린 구남친이 나의 상사가 되어 돌아오리라곤 그땐 전혀 알지 못했다!!!

조상님!
고무신 거꾸로 신은 대가치곤 너무 큰 거 아닙니까?!
남녀가 사귀다 헤어질 수도 있는 거지!!!


내가 차였어.
당시엔 가진 게 아무것도 없었지.
난 그때 박홈의 후계자도 뭣도 아닌
월세 50만 원짜리 원룸에서 지내는 수영강사였으니까.

아무것도 할 수 없었던 그 안에서 
내가 느낀 괴로움과 치욕을 고스란히 돌려줄 거야!!!



재벌3세 1호점 점장 박연하와 노처녀 부점장 이곰신.
둘의 이어질 듯 말 듯한 아찔한 로맨스!!!",카카오페이지
13,나는 마도왕이다,"MIRO,데카스펠",소년,"10년 전, 차원이 비틀리며 몬스터가 쏟아져 나왔다.
동시에 생겨난 초능력 각성자들이 몬스터를 잡으며 대세가 되는데...

성훈은 한 달에 네 번, 어머니의 병원비를 마련하기 위해
각성자의 사냥을 돕고, 뒤처리하는 위험천만한 '짐꾼'으로 활동한다.

그러던 중 몬스터에게 큰 부상을 입고 전생을 기억하게 되는데...

""어라, 나 죽었나?""

""나 전생에 대마도사 크라투라스였잖아!!!""

전생의 기억을 가진 성훈의 갑질 마법이 시작된다!!


*********************

판타지 화제작 데카스펠 작가님의 <나는 마도왕이다> 본격 웹툰화!
세계를 휩쓰는 마도왕의 마법을 웹툰으로 만나 보세요!

*********************",카카오페이지
14,가면 쓴 여자,"박한나,메린,민(MIN)",로맨스,"민(MIN) 작가의 소설 <가면 쓴 여자> 웹툰화!
원작소설과의 또 다른 재미를 느껴보세요~! 

식품업계 신흥강자로 떠오른 헨젤 기업의 사장, 권세후.
뛰어난 업무 처리 능력을 가진 그의 비서, 엄보란.

어느 날, 난데없이 사장의 명령이 떨어졌다.

“<가면 쓴 아이>, 이 책의 저자를 찾아!”

얄미운 사장을 모티브로 그림책을 그렸던 보란은 당황하는데…!

찾으려는 자와 정체를 숨기려는 자 간의 
쫓고 쫓기는 숨바꼭질.
꼬시려는 자와 버티려는 자 간의 줄다리기!
두 사람의 오피스 연애!",카카오페이지
15,사악한 신데렐라에겐 악당이 필요해,"삐약,공은화",로판,"-개과천선한 악녀, 희대의 악당과 계약 결혼?!
 
남의 사랑에 화려하게 깽판을 놓다 사랑하는 남자에게 죽음을 당하게 된 전직 악녀, 릴리트. 못된 짓을 하면 벌을 받는다더니, 눈을 떠 보니 잘나가던 이전의 모습은 온데간데없고 소설책 속 세계의 조연 1에 빙의해 있었다.
""계모에게 구박만 받다가 최악의 쓰레기에게 시집가는 비중 없는 조연 인생을 살라고?!"" 이전 생을 반성하며 착하게 살기로 결심한 릴리트는 자기의 미래를 바꾸고 계모와 새언니들을 갱생시키기 위해 사상 최고의 악당과 계약 결혼을 하게 되는데?!
“사랑 따위 필요 없어, 이번 생은 착하게 살 거야, 내 식대로!”
 
-이야기 책 속 조연이 되어버린 악녀의 착하게 살기 프로젝트!",카카오페이지
16,불완전 결혼 컬렉션 [할리퀸],"애비 그린,쿠리하라 마모루",로맨스,"<불완전 결혼 컬렉션 [할리퀸]> 작품 구성


1. 첫 키스의 흔적
2. 억만장자는 결혼을 싫어해
3. 다크 오아시스
4. 하룻밤의 마법
5. 꽃다발을 그대에게
6. 사랑의 세컨드 찬스
7. 사랑을 금한 계약
8. 그의 아내 
9. 위험한 장난
10. 세 번째 청혼
11. 예고대로의 프러포즈
12. 사랑하는 당신에게
13. 칼리타의 연인
14. 유혹의 구도
15. 그대에게 모든 것을 바치리
16. 신랑이 바뀌었어요
17. 문 리버를 당신에게
18. 키스 없는 프러포즈
19. 최고의 사랑
20. 운명의 일요일",카카오페이지
17,내겐 너무 완벽한 그녀 컬렉션 [할리퀸],"줄리 엘리자베스 레토,시오미야 유키",로맨스,"<내겐 너무 완벽한 그녀 컬렉션 [할리퀸]> 작품 구성

1. 시드니의 연인
2. 러브 스타일리스트
3. 아름다운 여전사
4. 약혼녀의 습격
5. 결혼할까요?
6. 나비에게 매료되어
7. 유리성의 왕녀
8. 두 번째 사랑은 갑자기
9. 숙녀와 도둑 ①
10. 숙녀와 도둑 ②
11. 억만장자의 민낯
12. 레이디의 비밀
13. 아내가 된 가정부
14. 이단의 그리스 대부호
15. 그들만의 세상
16. 아폴론과 인어
17. 물의 도시의 미녀 ①
18. 물의 도시의 미녀 ②
19. 사랑한다고 속삭이면서
20. 성녀의 소양
21. 짝사랑의 나날들
22. 비밀의 가치
23. 비밀투성이 미녀",카카오페이지
18,귀여운 야수님!,"하임,정해솔",로맨스,"상큼한 초등학교 교사 소다임.
취미는 십자수요, 꿈은 현모양처일 것만 같은 비주얼!
그러나 실상은, 나씨나길, 마이웨이의 냉정하고 터프한 시(베리아 헐)크녀!
어느 날 문득, 눈물이 그렁그렁~ 청초한(?) 남자에게 철갑 콩깍지가 씌인다.
남들은 폭군 네로처럼 생겼다고 말하지만, 
제 눈에는 그저 검은 고양이 네로로 보일 뿐! 
홀로 남겨진 새끼 고양이를 보고 눈물이 고인 청초남(?) 온겸의 
냉정한 느낌을 주던 하얀 얼굴이 눈물로 얼룩지고, 
눈가며 코며 입술이며 할 것 없이 발갛게 물든 모습을 본 순간...!
다임은 마치 벼락 맞은 사람처럼 심장이 쿵! 내려앉았다.

‘귀, 귀여워…! 끌어안아주고 싶어…! 
아니야, 더 울리고 싶은 것 같기도 하고…?
아, 이게 바로 깨물어 죽이고 싶은 느낌인 건가…?!’

그 이후로, 온겸이 울어도 예쁘고, 화내면 섹시하고, 시무룩해하면 더 괴롭혀주고 싶어서 근질거린다. 아, 자꾸만 그를 울리고 싶은 이 마음을 어찌하랴~~♥

#갭모에_남주 #걸크러쉬_여주 #멍뭉미 #대형견 #달달물 #로코",카카오페이지
19,"나비, 호랑이를 물다","후박나무옹뽀,박민달",BL/GL,"아픈 운명으로 얽힌 인간과 신수가 상처와 결핍을 딛고 사랑할 수 있을까?

밴드 보컬 연호는 오랫동안 짝사랑해온 경훈에게서 사랑하는 남자가 생겼다는 청천벽력 같은 말을 듣는다.
경훈을 되찾기 위해 그를 찾을 때마다 오히려 연적(?) 나루에게 경계심을 풀게 되는 연호.
게다가 항상 그들 옆을 배회하는 한울에게 마음이 설레는 건 왜일까?
호랑이 신수인 한울은 연호에게서 알 수 없는 향기를 느끼고, 경훈을 되찾을 생각뿐이었던 연호도 점점 한울에게 빠져든다.
과연, 한울과 연호는 신수와 인간이라는 한계를 넘어 사랑을 완성할 수 있을까?",카카오페이지
20,시크와의 나쁜 짓 컬렉션 [할리퀸],히구리 유우,로맨스,"<시크와의 나쁜 짓 컬렉션 [할리퀸]> 작품 구성

1. 열사의 장미는 거만한 시크의 마음을 애태운다
2. 물거품 같은 결혼
3. 시크의 사랑은 어느 날 갑자기
4. 시크에게 애태우는 마음
5. 사랑 없는 왕과 아름다운 꽃
6. 사막의 푸른 눈동자
7. 사막의 마법에 이끌려
8. 달그림자 시크와 시간을 알리는 꽃의 여신
9. 기라성 시크와 노래하는 샘의 숙녀
10. 새벽의 시크와 붉은 보석의 공주
11. 천 년의 사랑 / 프린스의 수수께끼
12. 공주와 시크
13. 하렘의 순결한 장미 ①
14. 하렘의 순결한 장미 ② [개정판]
15. 사막의 아콰마린
16. 다이아몬드의 진실
17. 혼례궁에 갇혀
18. 야생마 길들이기
19. 그의 포로
20. 꽃그늘에 사랑은 채워지고",카카오페이지
21,붉은 여우,하마,드라마,"붉은 여우.


과거에 몇 번인가
인간의 모습으로 둔갑하여

많은 인간들의
간을 빼먹었다고 하는

무시무시한 요물…

훗날 붉은 여우를
만날지도 모르는

그대들을 위한 글을 씁니다.


붉은 여우를 만나면
가진 것을 전부 주도록 하세요.

여우는
원하는 것이 있다면

어린아이처럼 떼를 쓰며
가지려 할 테니까요.

전부 주어도 안 된다면
자신의 간을 바치도록 하세요.

간을 바치면 여우는
간만 먹고서 돌아가지만

간을 바치지 않으면

그 자손이 영겁토록
여우의 저주를 받을 겁니다.


…이 모든 것이

그대들에게 두렵고 조심스러운
마음을 갖게 하기 위한

하늘이 아닌 인간이 적은 글에 불과하지만

…이것으로 그대들이 여우를
조금이나마 피할 수만 있다면

저는 그 어떤 방법이라도
가리지 않을 겁니다.
--------------------------------
*번외 이야기 최초 연재*
*매주 화요일 00시에 연재됩니다.*
*본 작품은 15세 이용가로 수정한 개정판입니다.*",카카오페이지
22,까마귀 우는 밤,"아쿠아비트,우지혜",로맨스,"[매주 화요일 업데이트]

이 여자, 대체 뭐야?

액션이면 액션, 로맨스면 로맨스. 못하는 게 없는 대체 불가 톱 배우 천우강의 마음을 뺏어간 건, 다름 아닌 그의 집에 침입한 정체불명의 여자였다! “우리 다시 만날 수 있어요?” 이름도 알지 못하는 그녀를 그리며 상사병까지 걸린 우강. 그런 그의 앞에 여자는 경찰 박태이로서 다시 나타나는데…? 그녀와 함께 찾아온 위기의 그림자는 과연 우연일까? 비밀스러운 밤에서 시작되는 스릴 만점 로맨스, <까마귀 우는 밤> 시작합니다!

*원작 : 우지혜 [웹소설]까마귀 우는 밤",카카오페이지
23,크리스마스에 기적이 생길 확률,"박한나,햄친,이음새",로맨스,"'사랑'은 대체 어떻게 해야 하는 걸까.

크리스마스 이브.
""헤어지자. 번호 바꿨으니까 하고 싶은 말 있으면 지금 해."" 
남은은 유준에게 뭐라 대꾸로 못한 채 차였다.

7년 후, 남은의 앞에 나타난 톱배우 유준은
더 냉정한 모습으로 남은을 열받게 하고.

그런 남은의 앞에 나타난 연하 아이돌 안성윤.
따뜻하고, 대범하고, 유쾌하기까지 한 이 남자는
남은에게 '사랑을 받는 것'이 무엇인지 알려준다.

한편 유준에게는
차마 알리지 못한 비밀이 있어보이는데…….

<이음새- 크리스마스에 기적이 생길 확률> 웹툰화!

연하 아이돌 vs 톱배우 전남친
#멍뭉미남주 #운명 #아련 #청춘 #첫사랑 #크리스마스 #달달물 #삼각관계",카카오페이지
